N|Uuki,ngh,Tuu,Tuu,29d43S,19d05E,,,,,Lg lacks numeral classifiers & Adj further from noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Moskona,mtj,East Bird's Head,East Bird's Head,1d30S,133dE,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Urim,uri,Urim,Torricelli,3d35S,142d40E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Au,avt,Wapei-Palei,Torricelli,3d35S,142d05E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Yeri,yev,Wapei-Palei,Torricelli,3d30S,142d25E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Walman,van,Wapei-Palei,Torricelli,3d13S,142d30E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Urat,urt,Kombio-Arapesh,Torricelli,3d40S,142d50E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kombio,xbi,Kombio-Arapesh,Torricelli,3d30S,142d45E,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Arapesh (Mountain),ape,Kombio-Arapesh,Torricelli,3d30S,143d10E,,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Arapesh (Abu),aah,Kombio-Arapesh,Torricelli,3d27S,142d57E,N-Dem-Num-A,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Kamasau,kms,Marienberg,Torricelli,3d55S,143d40E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Monumbo,mxk,Monumbo,Torricelli,4d15S,145dE,,,,,,Adj is not verb & NAdj,,,,
Gapun,gpn,Gapun,Gapun,4d05S,144d30E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,
Abau,aau,Abau,Sepik,4dS,141d15E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Awtuw,kmn,Ram,Sepik,3d35S,142dE,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & NAdj,Adj is not verb & NAdj & NNum
Namia,nnm,Yellow River,Sepik,3d50S,141d45E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Kwanga,kwj,Nukuma,Sepik,3d50S,142d45E,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Kwoma,kmo,Nukuma,Sepik,4d10S,142d45E,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Sare,dju,Sepik Hill,Sepik,4d30S,143d10E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Alamblak,amp,Sepik Hill,Sepik,4d40S,143d20E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Ambulas,abt,Ndu,Sepik,3d50S,143dE,Dem-A-N-Num,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Iatmul,ian,Ndu,Sepik,4d15S,143d15E,Dem-A-N-Num,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Rao,rao,Annaberg,Ramu-Lower Sepik,4d45S,144d30E,,,,,,Adj is not verb & NAdj,,,,
Yelî Dnye,yle,Yelî Dnye,Yelî Dnye,11d22S,154d10E,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Lavukaleve,lvk,Lavukaleve,Solomons East Papuan,9d05S,159d12E,,,,,,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Savosavo,svs,Savosavo,Solomons East Papuan,9d07S,159d47E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Bilua,blb,Bilua,Solomons East Papuan,7d45S,156d40E,Dem-Num-A-N,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Sulka,sua,Sulka,Sulka,5d05S,152dE,N-Num-A-Dem,,,,,,,,,
Anêm,anz,Anêm,Anêm,5d30S,149dE,N-Dem-A-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj further from noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Mali,gcc,Baining,Baining,4d50S,152d15E,,,Adj is not verb & Adj further from noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kuot,kto,Kuot,Kuot,3d03S,151d30E,Dem-Num-N-A,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Motuna,siw,South Bougainville,South Bougainville,6d37S,155d25E,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Gaagudju,gbu,Gaagudju,Gaagudju,12d35S,132d50E,,,,,,Adj is not verb & NAdj,,,,
Tiwi,tiw,Tiwian,Tiwian,11d30S,131dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Maung,mph,Iwaidjan,Iwaidjan,11d55S,133d30E,,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NumN
Ngalakan,nig,Ngalakan,Gunwinyguan,14d15S,134dE,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,
Mangarrayi,mpc,Mangarrayi,Mangarrayi-Maran,14d30S,133d30E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,
Wagiman,waq,Wagiman,Wagiman,14dS,131d15E,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Wardaman,wrr,Yangmanic,Yangmanic,15d30S,131dE,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NumN
Nakkara,nck,Nakkara,Maningrida,12d07S,134d25E,,,,,,Adj is not verb & NAdj,,,,
Ndjébbana,djj,Ndjébbana,Maningrida,12d10S,134d07E,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Djingili,jig,Djingili,Mirndi,17d45S,134dE,,,,,,Adj is not verb & NAdj,,,,
Ngankikurungkurr,nam,Ngankikurungkurr,Southern Daly,14dS,130d30E,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Marrithiyel,mfr,Bringen,Western Daly,13d50S,130dE,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Emmi,amy,Wagaydy,Western Daly,13d30S,130dE,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Maranungku,zmr,Wagaydy,Western Daly,13d40S,130dE,N-A-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Bunuba,bck,Bunaban,Bunaban,17d45S,125d45E,,,,,,Adj is not verb & AdjN,,,,
Gooniyandi,gni,Bunaban,Bunaban,18d20S,126d20E,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NumN
Nyulnyul,nyv,Nyulnyulan,Nyulnyulan,17dS,122d50E,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Bardi,bcj,Nyulnyulan,Nyulnyulan,16d30S,122d30E,,,,,,Adj is not verb & AdjN,,,,
Gunin,gww,Worrorran,Worrorran,14d15S,126d40E,,,,,,Adj is not verb & NAdj,,,,
Ungarinjin,ung,Worrorran,Worrorran,16d20S,126dE,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kayardild,gyd,Tangkic,Tangkic,17d03S,139d30E,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Yukulta,gcd,Tangkic,Tangkic,17d20S,138d50E,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,
Uradhi,urf,Northern Pama-Nyungan,Pama-Nyungan,11d55S,142d25E,,,,,,Adj is not verb & NAdj,,,,
Kugu Nganhcara,uwa,Northern Pama-Nyungan,Pama-Nyungan,14d30S,142dE,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kuuk Thaayorre,thd,Northern Pama-Nyungan,Pama-Nyungan,14d35S,141d50E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Ngawun,nxn,Northern Pama-Nyungan,Pama-Nyungan,19dS,141d30E,,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,,,
Guugu Yimidhirr,kky,Northern Pama-Nyungan,Pama-Nyungan,15dS,144d50E,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Kuku-Yalanji,gvn,Northern Pama-Nyungan,Pama-Nyungan,16dS,145dE,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NumN
Yidiny,yii,Northern Pama-Nyungan,Pama-Nyungan,17dS,145d45E,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Dyirbal,dbl,Northern Pama-Nyungan,Pama-Nyungan,17d50S,145d35E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Biri,bzr,Northern Pama-Nyungan,Pama-Nyungan,20d30S,146d30E,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Kalkatungu,ktg,Northern Pama-Nyungan,Pama-Nyungan,21dS,139d30E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Wembawemba,--,Southeastern Pama-Nyungan,Pama-Nyungan,35d20S,144dE,,,,,,Adj is not verb & AdjN,,,,
Muruwari,zmu,Southeastern Pama-Nyungan,Pama-Nyungan,28d45S,147dE,,,,,,Adj is not verb & AdjN,,,,
Bandjalang,bdy,Southeastern Pama-Nyungan,Pama-Nyungan,28d45S,153dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Yuwaalaraay,kld,Southeastern Pama-Nyungan,Pama-Nyungan,29d30S,148dE,,,,,,Adj is not verb & AdjN,,,,
Diyari,dif,Central Pama-Nyungan,Pama-Nyungan,28dS,139dE,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Arrernte (Mparntwe),aer,Central Pama-Nyungan,Pama-Nyungan,24dS,136dE,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Pitjantjatjara,pjt,Western Pama-Nyungan,Pama-Nyungan,26dS,130dE,N-Dem-A-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj further from noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Ngaanyatjarra,ntj,Western Pama-Nyungan,Pama-Nyungan,26dS,126d30E,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Ngadjumaja,nju,Western Pama-Nyungan,Pama-Nyungan,32d20S,123d50E,,,,,,Adj is not verb & NAdj,,,,
Iñupiaq,esk,Eskimo,Eskimo-Aleut,70dN,150dW,,,,,,Adj is verb & AdjN,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Greenlandic (West),kal,Eskimo,Eskimo-Aleut,64dN,51dW,,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Haida,hai,Haida,Haida,53dN,132dW,Dem-N-A-Num,Adj is verb & Adj closer to noun than Num,,,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Tlingit,tli,Tlingit,Na-Dene,59dN,135dW,,,,Lg has numeral classifiers & Num closer to noun than Dem,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,,,
Slave,den,Athapaskan,Na-Dene,67dN,125dW,Dem-N-Num-A,Adj is verb & Adj further from noun than Num,,,Lg has numeral classifiers & Adj further from noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Sarcee,srs,Athapaskan,Na-Dene,52d30N,116dW,Dem-Num-N-A,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Hupa,hup,Athapaskan,Na-Dene,41d05N,123d40W,,,,,,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Wiyot,wiy,Wiyot,Algic,40d50N,124d10W,,,,,,Adj is verb & NAdj,,,,
Yurok,yur,Yurok,Algic,41d20N,124dW,,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Blackfoot,bla,Algonquian,Algic,50dN,112d40W,,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NumN
Arapaho,arp,Algonquian,Algic,40dN,103dW,,,,,,Adj is verb & AdjN,,,,
Ottawa,otw,Algonquian,Algic,47dN,83dW,Dem-Num-N-A,,,Lg has numeral classifiers & Num closer to noun than Dem,,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Quileute,qui,Chimakuan,Chimakuan,47d55N,124d15W,,,,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NumN
Kwakw'ala,kwk,Northern Wakashan,Wakashan,51dN,127dW,,,,,,,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Halkomelem (Upriver),hur,Central Salish,Salishan,49d30N,121dW,,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Musqueam,hur,Central Salish,Salishan,49d10N,123dW,Dem-Num-A-N,,,,,,,,,
Thompson,thp,Interior Salish,Salishan,49d45N,121d45W,,,,,,,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Yuchi,yuc,Yuchi,Yuchi,35d45N,86d45W,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Mandan,mhq,Core Siouan,Siouan,47dN,102dW,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Assiniboine,asb,Core Siouan,Siouan,49dN,104dW,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Lakhota,lkt,Core Siouan,Siouan,43d50N,101d50W,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Osage,osa,Core Siouan,Siouan,37dN,94dW,,,,,,Adj is not verb & NAdj,,,,
Wichita,wic,Caddoan,Caddoan,33d20N,97d20W,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Cherokee,chr,Southern Iroquoian,Iroquoian,35d30N,80dW,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Gitksan,git,Tsimshianic,Penutian,55d20N,127d45W,,,,,,Adj is verb & AdjN,,,,
Tsimshian (Coast),tsi,Tsimshianic,Penutian,52d30N,129dW,Num-A-N-Dem,Adj is not verb & Adj closer to noun than Num,,,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Chinook (Lower),chh,Chinookan,Penutian,46d15N,123d30W,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Klamath,kla,Klamath-Modoc,Penutian,42d30N,121d30W,,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Klikitat,--,Sahaptian,Penutian,45d50N,120d50W,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Yakima,yak,Sahaptian,Penutian,46d20N,121dW,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,,,
Nez Perce,nez,Sahaptian,Penutian,46dN,116dW,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Wikchamni,--,Yokuts,Penutian,36d25N,119d05W,,,,,,Adj is not verb & AdjN,,,,
Takelma,tkm,Takelma,Takelma,42d30N,123dW,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Coos (Hanis),csz,Coosan,Oregon Coast,43d30N,124d10W,,,,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NumN
Siuslaw,sis,Siuslawan,Oregon Coast,44dN,124dW,,,,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NumN
Zuni,zun,Zuni,Zuni,35d05N,108d50W,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Choctaw,cho,Muskogean,Muskogean,32d15N,88d30W,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Chickasaw,cic,Muskogean,Muskogean,34dN,88dW,N-A-Num-Dem,,,,,,,,,
Creek,mus,Muskogean,Muskogean,34dN,85dW,Dem-N-A-Num,Adj is verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Seminole,mus,Muskogean,Muskogean,33dN,84dW,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Wappo,wao,Wappo,Wappo-Yukian,38d30N,122d30W,Dem-N-Num-A,Adj is not verb & Adj further from noun than Num,,,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Totonac (Misantla),tlc,Totonacan,Totonacan,19d55N,96d55W,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Tepehua (Huehuetla),tee,Totonacan,Totonacan,20d30N,98dW,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Tepehua (Tlachichilco),tpt,Totonacan,Totonacan,20d35N,98d15W,,,,,,Adj is not verb & AdjN,,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Mixe (Ayutla),mxp,Mixe-Zoque,Mixe-Zoque,17d05N,96d05W,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Olutec,plo,Mixe-Zoque,Mixe-Zoque,17d57N,95dW,,,,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NumN
Popoluca (Sierra),poi,Mixe-Zoque,Mixe-Zoque,18d20N,95d10W,Num-Dem-A-N,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Zoque (Copainalá),zoc,Mixe-Zoque,Mixe-Zoque,17dN,93d15W,,,,,,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
